nuRepos,startDates,endDates,ginis,endLOCs,uniqueAuthorsFromBeginning,numAnnotationsThisWindow,numCommitsThisWindow
spring-projects/spring-framework,2009-09-07,2009-09-07,0,244720,1,2,1
spring-projects/spring-framework,2009-12-15,2009-12-15,0,253907,1,2,1
spring-projects/spring-framework,2011-06-28,2011-07-27,0,299253,2,2,2
spring-projects/spring-framework,2011-12-03,2011-12-09,0.1666666667,306474,2,3,2
spring-projects/spring-framework,2012-09-28,2012-09-28,0,326370,3,1,1
spring-projects/spring-framework,2014-11-24,2014-11-24,0,400317,3,1,1
spring-projects/spring-framework,2015-08-27,2015-08-27,0,433154,3,1,1
spring-projects/spring-framework,2016-12-18,2016-12-18,0,448428,3,2,1
spring-projects/spring-framework,2017-05-27,2017-08-24,0.9160319607,477325,9,9799,71
spring-projects/spring-framework,2017-09-01,2017-11-26,0.574168798,483758,10,184,51
spring-projects/spring-framework,2017-12-01,2018-02-28,0.3364185111,486471,12,71,35
spring-projects/spring-framework,2018-03-08,2018-06-06,0.5022070626,492556,15,178,56
spring-projects/spring-framework,2018-06-08,2018-09-05,0.6856641124,501361,18,576,87
spring-projects/spring-framework,2018-09-07,2018-12-05,0.4753143922,506247,18,113,38
spring-projects/spring-framework,2018-12-07,2019-03-07,0.6973244147,507713,22,299,38
spring-projects/spring-framework,2019-03-08,2019-06-06,0.698968352,528221,26,503,74
spring-projects/spring-framework,2019-06-11,2019-09-06,0.6107628004,553166,27,231,58
spring-projects/spring-framework,2019-09-12,2019-12-10,0.6608373079,538699,29,222,34
spring-projects/spring-framework,2019-12-12,2020-03-11,0.4940540541,541297,33,74,25
spring-projects/spring-framework,2020-03-12,2020-06-10,0.6055784179,546659,36,243,45
spring-projects/spring-framework,2020-06-11,2020-07-27,0.6333333333,555842,39,161,30
eclipse/deeplearning4j,2019-06-06,2019-09-04,0.9030835798,453816,6,2148,34
eclipse/deeplearning4j,2019-09-09,2019-12-05,0.6334943639,455509,8,270,23
eclipse/deeplearning4j,2019-12-09,2020-03-06,0.5405405405,456421,10,111,15
eclipse/deeplearning4j,2020-03-09,2020-06-05,0.6363871636,470322,14,336,23
eclipse/deeplearning4j,2020-07-26,2020-07-26,0,472382,15,32,1
airbnb/lottie-android,2016-10-10,2016-12-06,0.1666666667,3967,1,4,3
airbnb/lottie-android,2017-02-15,2017-05-09,0.4154411765,5862,4,51,16
airbnb/lottie-android,2017-05-29,2017-08-27,0.4747474747,6811,4,54,11
airbnb/lottie-android,2017-08-29,2017-08-29,0,6810,4,3,1
airbnb/lottie-android,2017-12-12,2018-03-11,0.5164835165,8949,4,52,14
airbnb/lottie-android,2018-05-07,2018-07-26,0.432,9773,4,25,5
airbnb/lottie-android,2018-08-08,2018-09-23,0.2571428571,10014,5,14,5
airbnb/lottie-android,2018-12-09,2019-03-03,0.6666666667,10240,6,50,9
airbnb/lottie-android,2019-03-10,2019-05-30,0.2962962963,12038,6,9,3
airbnb/lottie-android,2019-06-22,2019-06-22,0,12062,6,1,1
airbnb/lottie-android,2019-09-23,2019-11-30,0.3461538462,12477,8,13,6
airbnb/lottie-android,2020-01-05,2020-03-02,0.3928571429,12547,9,14,4
bazelbuild/bazel,2015-02-10,2015-05-08,0.8100124378,145127,10,201,16
bazelbuild/bazel,2015-05-14,2015-08-12,0.4074074074,166832,12,30,9
bazelbuild/bazel,2015-08-19,2015-11-16,0.4393241167,197547,19,84,31
bazelbuild/bazel,2015-11-18,2016-02-10,0.3327683616,225059,26,59,30
bazelbuild/bazel,2016-02-18,2016-05-16,0.3552,246668,27,50,25
bazelbuild/bazel,2016-05-19,2016-08-15,0.4540960452,276242,30,59,24
bazelbuild/bazel,2016-08-23,2016-11-15,0.3480392157,296913,39,68,30
bazelbuild/bazel,2016-11-29,2017-02-27,0.4533333333,318408,41,66,25
bazelbuild/bazel,2017-03-08,2017-06-02,0.3135080645,413244,48,62,32
bazelbuild/bazel,2017-06-08,2017-09-05,0.4728813559,442461,65,118,50
bazelbuild/bazel,2017-09-14,2017-12-13,0.3802083333,510081,71,96,48
bazelbuild/bazel,2017-12-14,2018-03-13,0.3801731602,531942,80,165,70
bazelbuild/bazel,2018-03-15,2018-06-13,0.4834013847,548145,88,262,86
bazelbuild/bazel,2018-06-15,2018-09-13,0.414591195,560033,94,212,75
bazelbuild/bazel,2018-09-14,2018-12-13,0.4087164496,581412,96,142,53
bazelbuild/bazel,2018-12-14,2019-03-11,0.4696102774,594235,99,157,59
bazelbuild/bazel,2019-03-15,2019-06-13,0.4604567308,609002,103,208,80
bazelbuild/bazel,2019-06-14,2019-09-12,0.407445181,619176,106,106,37
bazelbuild/bazel,2019-09-13,2019-12-12,0.4159841152,627688,109,204,79
bazelbuild/bazel,2019-12-16,2020-03-13,0.3723404255,598741,111,247,94
bazelbuild/bazel,2020-03-19,2020-06-16,0.4686285988,608607,118,437,129
bazelbuild/bazel,2020-06-22,2020-07-27,0.5960059172,611168,123,169,40
elastic/elasticsearch,2010-02-20,2010-02-20,0,70641,1,1,1
elastic/elasticsearch,2010-11-02,2011-01-17,0.25,117695,1,4,2
elastic/elasticsearch,2011-03-14,2011-03-14,0,125015,1,1,1
elastic/elasticsearch,2011-08-24,2011-10-31,0.4166666667,161560,3,9,4
elastic/elasticsearch,2011-12-06,2012-02-20,0.4107142857,166396,3,28,8
elastic/elasticsearch,2012-04-29,2012-07-08,0.119047619,180274,4,7,6
elastic/elasticsearch,2012-09-07,2012-09-26,0.1666666667,188042,4,3,2
elastic/elasticsearch,2013-01-07,2013-04-07,0.5714285714,210830,6,28,6
elastic/elasticsearch,2013-04-16,2013-07-03,0.5614035088,224556,7,19,3
elastic/elasticsearch,2013-08-21,2013-11-08,0.2333333333,257337,9,12,5
elastic/elasticsearch,2013-12-11,2014-02-16,0.1875,308134,11,8,4
elastic/elasticsearch,2014-03-21,2014-05-21,0.1666666667,331437,12,4,3
elastic/elasticsearch,2014-06-28,2014-07-18,0,328458,12,6,2
elastic/elasticsearch,2014-10-06,2014-12-29,0.196969697,348209,15,11,6
elastic/elasticsearch,2015-01-30,2015-04-29,0.4577861163,29971,16,41,13
elastic/elasticsearch,2015-05-01,2015-07-22,0.3199685535,383310,19,53,24
elastic/elasticsearch,2015-08-03,2015-10-30,0.3988095238,73228,26,60,28
elastic/elasticsearch,2015-11-03,2016-02-01,0.5042735043,431881,29,36,13
elastic/elasticsearch,2016-02-04,2016-04-21,0.375168691,457628,31,39,19
elastic/elasticsearch,2016-05-06,2016-08-04,0.464983165,102104,32,99,30
elastic/elasticsearch,2016-08-05,2016-10-31,0.5227272727,502539,36,110,32
elastic/elasticsearch,2016-11-04,2017-02-02,0.5065656566,519011,39,120,33
elastic/elasticsearch,2017-02-03,2017-05-04,0.324,537122,41,60,25
elastic/elasticsearch,2017-05-10,2017-08-08,0.2960662526,204466,42,42,23
elastic/elasticsearch,2017-08-11,2017-11-06,0.4741935484,577716,43,31,10
elastic/elasticsearch,2017-11-13,2018-02-09,0.4325925926,604075,46,81,25
elastic/elasticsearch,2018-02-23,2018-05-23,0.2568965517,877632,50,29,20
elastic/elasticsearch,2018-05-29,2018-08-23,0.5151641047,938161,54,83,29
elastic/elasticsearch,2018-09-01,2018-11-29,0.4152133581,1045670,62,110,49
elastic/elasticsearch,2018-12-04,2019-03-04,0.4342364532,1129109,68,140,58
elastic/elasticsearch,2019-03-08,2019-06-05,0.4163636364,1160000,70,75,22
elastic/elasticsearch,2019-06-11,2019-09-09,0.5144715447,1226616,75,205,45
elastic/elasticsearch,2019-09-15,2019-12-11,0.4989295654,1279886,77,173,54
elastic/elasticsearch,2019-12-17,2020-03-16,0.4673913043,1338325,82,132,46
elastic/elasticsearch,2020-03-17,2020-06-15,0.6925494999,1423329,85,355,69
elastic/elasticsearch,2020-06-16,2020-07-27,0.530271639,1460161,89,181,48
eclipse-vertx/vert.x,2015-10-26,2015-10-26,0,51088,1,37,1
eclipse-vertx/vert.x,2016-02-08,2016-03-30,0.2882352941,61422,1,17,10
eclipse-vertx/vert.x,2017-02-20,2017-05-17,0.09523809524,77509,2,7,3
eclipse-vertx/vert.x,2017-08-30,2017-08-30,0,80282,3,1,1
eclipse-vertx/vert.x,2018-03-31,2018-03-31,0,84579,3,3,1
eclipse-vertx/vert.x,2018-11-04,2018-11-04,0,85485,3,1,1
eclipse-vertx/vert.x,2019-03-18,2019-06-13,0.2820512821,90878,4,26,3
eclipse-vertx/vert.x,2019-07-31,2019-10-29,0.1363636364,94050,4,11,2
eclipse-vertx/vert.x,2019-11-17,2019-12-04,0.3666666667,94356,4,20,3
eclipse-vertx/vert.x,2020-04-11,2020-07-07,0.1666666667,97531,6,3,2
halo-dev/halo,2019-02-19,2019-05-20,0.489244186,13199,2,640,129
halo-dev/halo,2019-05-24,2019-08-22,0.425,14913,3,84,20
halo-dev/halo,2019-08-28,2019-11-18,0.5126262626,16410,3,72,11
halo-dev/halo,2019-11-29,2020-02-27,0.515909793,20787,8,249,39
halo-dev/halo,2020-03-01,2020-05-15,0.4333333333,20886,10,70,12
halo-dev/halo,2020-06-08,2020-07-14,0.5431578947,21606,12,95,5
google/guava,2009-09-15,2009-09-15,0,4751,1,2,1
google/guava,2010-01-05,2010-01-05,0.4252873563,17608,1,174,2
google/guava,2010-04-08,2010-06-04,0.5905797101,22578,2,69,4
google/guava,2010-07-27,2010-10-12,0.5562556256,34703,3,101,11
google/guava,2011-02-08,2011-05-06,0.4,39142,4,11,5
google/guava,2011-05-11,2011-08-01,0.4086687307,45345,4,57,17
google/guava,2011-08-12,2011-11-09,0.5965309201,112547,5,156,17
google/guava,2011-12-05,2012-03-02,0.4081632653,119690,7,14,7
google/guava,2012-03-05,2012-05-08,0.4385964912,126752,8,76,15
google/guava,2012-06-11,2012-09-07,0.3346883469,146465,10,41,18
google/guava,2012-09-18,2012-12-13,0.5601779173,160323,10,182,42
google/guava,2012-12-20,2013-03-18,0.4069264069,162583,11,55,21
google/guava,2013-03-27,2013-06-25,0.2222222222,202214,12,19,9
google/guava,2013-06-28,2013-09-18,0.119047619,203704,12,7,6
google/guava,2013-10-25,2013-12-30,0.452173913,206426,12,23,5
google/guava,2014-02-06,2014-04-09,0.1333333333,208525,12,5,3
google/guava,2014-05-23,2014-08-05,0,209790,12,10,5
google/guava,2014-09-15,2014-12-04,0.4166666667,211593,16,24,7
google/guava,2014-12-23,2015-03-23,0.3875,216636,19,32,10
google/guava,2015-03-26,2015-06-03,0.306122449,219703,20,14,7
google/guava,2015-06-30,2015-09-28,0.2222222222,223055,22,12,6
google/guava,2015-09-29,2015-12-14,0.2909090909,193631,24,11,5
google/guava,2016-01-20,2016-04-19,0.7128851541,196736,26,119,6
google/guava,2016-04-26,2016-07-13,0.3736263736,196097,27,13,7
google/guava,2016-07-26,2016-09-30,0.5654545455,197541,29,55,10
google/guava,2016-11-03,2017-01-19,0.4812206573,202869,31,71,6
google/guava,2017-03-28,2017-06-21,0.34,387076,33,20,10
google/guava,2017-07-05,2017-09-19,0.6685714286,391903,34,50,7
google/guava,2017-10-05,2018-01-03,0.9221435794,406809,36,1587,43
google/guava,2018-01-05,2018-03-23,0.3734567901,410285,38,27,12
google/guava,2018-05-03,2018-07-09,0.7383612663,410618,42,179,6
google/guava,2018-08-13,2018-10-25,0.4666666667,412882,42,20,3
google/guava,2019-02-14,2019-03-21,0.4680851064,413568,43,94,2
google/guava,2019-05-30,2019-08-13,0.1894736842,413995,45,19,5
google/guava,2019-08-29,2019-11-27,0.4538461538,416275,45,65,6
google/guava,2019-12-17,2020-03-02,0.7767567568,417701,46,370,10
google/guava,2020-04-23,2020-07-13,0.3125,420217,47,16,4
google/ExoPlayer,2017-03-15,2017-06-13,0.3431372549,59935,3,17,6
google/ExoPlayer,2017-06-20,2017-08-29,0.44,67879,8,50,15
google/ExoPlayer,2017-09-20,2017-12-13,0.3448637317,76772,9,53,18
google/ExoPlayer,2017-12-22,2018-03-20,0.3595959596,88295,10,55,27
google/ExoPlayer,2018-03-26,2018-06-22,0.6643424158,97254,10,316,59
google/ExoPlayer,2018-06-27,2018-09-20,0.620958022,108685,13,409,71
google/ExoPlayer,2018-09-28,2018-12-17,0.5127777778,115532,17,160,45
google/ExoPlayer,2019-01-03,2019-04-02,0.4740877842,122487,18,248,61
google/ExoPlayer,2019-04-05,2019-07-04,0.4894329358,127359,20,324,59
google/ExoPlayer,2019-07-05,2019-10-03,0.646471347,129224,28,405,67
google/ExoPlayer,2019-10-04,2020-01-02,0.5660867572,133340,29,473,83
google/ExoPlayer,2020-01-03,2020-03-30,0.5353535354,135479,30,114,33
google/ExoPlayer,2020-04-07,2020-06-17,0.4428571429,137170,31,70,22
skylot/jadx,2014-11-03,2015-01-26,0.2769230769,28420,1,13,5
skylot/jadx,2015-02-07,2015-04-05,0.15,29104,1,8,5
skylot/jadx,2015-05-31,2015-08-09,0.3035714286,32075,1,16,7
skylot/jadx,2015-09-05,2015-09-05,0,32405,1,1,1
skylot/jadx,2016-03-13,2016-03-27,0.1333333333,33555,1,10,3
skylot/jadx,2018-01-15,2018-04-14,0.2575757576,34466,1,11,6
skylot/jadx,2018-04-22,2018-07-21,0.3272727273,36389,1,11,5
skylot/jadx,2018-07-28,2018-09-08,0.5151515152,37006,2,22,6
skylot/jadx,2018-10-28,2019-01-24,0.2823529412,39924,2,17,5
skylot/jadx,2019-02-04,2019-05-05,0.4216524217,44490,3,27,13
skylot/jadx,2019-05-06,2019-08-03,0.4013605442,47585,5,42,21
skylot/jadx,2019-08-08,2019-10-30,0.3193277311,48211,5,17,7
skylot/jadx,2019-11-24,2020-02-04,0.5469387755,49948,7,49,15
skylot/jadx,2020-03-16,2020-06-06,0.6858108108,55433,7,74,16
skylot/jadx,2020-07-20,2020-07-20,0,55488,7,1,1
square/retrofit,2017-05-08,2017-05-25,0.6095238095,14200,1,70,3
square/retrofit,2018-01-14,2018-03-31,0.2222222222,15121,4,9,5
square/retrofit,2018-06-16,2018-09-11,0.3,16304,4,5,2
square/retrofit,2018-09-19,2018-11-16,0.570212766,15991,5,47,5
square/retrofit,2019-01-22,2019-04-09,0.3047619048,16540,5,15,7
square/retrofit,2019-06-23,2019-06-23,0,16423,5,4,1
square/retrofit,2019-12-16,2020-03-11,0.375,16534,7,8,4
square/retrofit,2020-04-17,2020-04-17,0,19046,7,2,1
openzipkin/zipkin,2015-11-04,2015-11-12,0.3,3311,1,5,2
openzipkin/zipkin,2016-03-23,2016-05-17,0.3214285714,11631,1,7,4
openzipkin/zipkin,2017-08-06,2017-10-27,0.3974358974,33547,2,52,12
openzipkin/zipkin,2017-11-10,2018-01-23,0.5441176471,35418,2,17,4
openzipkin/zipkin,2018-04-16,2018-07-15,0.472826087,28083,2,23,8
openzipkin/zipkin,2018-11-17,2019-01-07,0.25,29955,2,13,4
openzipkin/zipkin,2019-04-14,2019-05-15,0.3975409836,31407,3,61,4
openzipkin/zipkin,2019-07-14,2019-09-24,0.3308823529,36590,3,17,8
openzipkin/zipkin,2020-03-06,2020-06-04,0.1666666667,37323,4,4,3
openzipkin/zipkin,2020-07-04,2020-07-12,0.04545454545,37382,4,11,2
dbeaver/dbeaver,2013-12-21,2014-03-21,0.6861111111,133193,1,459,40
dbeaver/dbeaver,2014-03-23,2014-06-21,0.58956743,136245,1,393,50
dbeaver/dbeaver,2014-06-28,2014-09-20,0.4857142857,137261,1,14,5
dbeaver/dbeaver,2014-11-05,2015-01-17,0.375,138632,1,16,5
dbeaver/dbeaver,2015-02-05,2015-04-21,0.5556488165,136746,1,161,37
